ForecastId,Province_State,Country_Region,Date,day_from_jan_first,Lat,Long,Country/Province,firstcase,density,medianage,urbanpop,hospibed,sexratio,lung,fertility,avgtemp,avghumidity,month,day,days_from_firstcase
1,,Afghanistan,3/26/2020,86,33,65,Afghanistan,2/23/2020,60,18,25,0.5,1.03,37.62,5.12,6.216666667,56.93333333,3,26,32
2,,Afghanistan,3/27/2020,87,33,65,Afghanistan,2/23/2020,60,18,25,0.5,1.03,37.62,5.12,6.216666667,56.93333333,3,27,33
3,,Afghanistan,3/28/2020,88,33,65,Afghanistan,2/23/2020,60,18,25,0.5,1.03,37.62,5.12,6.216666667,56.93333333,3,28,34
4,,Afghanistan,3/29/2020,89,33,65,Afghanistan,2/23/2020,60,18,25,0.5,1.03,37.62,5.12,6.216666667,56.93333333,3,29,35
5,,Afghanistan,3/30/2020,90,33,65,Afghanistan,2/23/2020,60,18,25,0.5,1.03,37.62,5.12,6.216666667,56.93333333,3,30,36
6,,Afghanistan,3/31/2020,91,33,65,Afghanistan,2/23/2020,60,18,25,0.5,1.03,37.62,5.12,6.216666667,56.93333333,3,31,37
7,,Afghanistan,4/1/2020,92,33,65,Afghanistan,2/23/2020,60,18,25,0.5,1.03,37.62,5.12,6.216666667,56.93333333,4,1,38
8,,Afghanistan,4/2/2020,93,33,65,Afghanistan,2/23/2020,60,18,25,0.5,1.03,37.62,5.12,6.216666667,56.93333333,4,2,39
9,,Afghanistan,4/3/2020,94,33,65,Afghanistan,2/23/2020,60,18,25,0.5,1.03,37.62,5.12,6.216666667,56.93333333,4,3,40
10,,Afghanistan,4/4/2020,95,33,65,Afghanistan,2/23/2020,60,18,25,0.5,1.03,37.62,5.12,6.216666667,56.93333333,4,4,41
11,,Afghanistan,4/5/2020,96,33,65,Afghanistan,2/23/2020,60,18,25,0.5,1.03,37.62,5.12,6.216666667,56.93333333,4,5,42
12,,Afghanistan,4/6/2020,97,33,65,Afghanistan,2/23/2020,60,18,25,0.5,1.03,37.62,5.12,6.216666667,56.93333333,4,6,43
13,,Afghanistan,4/7/2020,98,33,65,Afghanistan,2/23/2020,60,18,25,0.5,1.03,37.62,5.12,6.216666667,56.93333333,4,7,44
14,,Afghanistan,4/8/2020,99,33,65,Afghanistan,2/23/2020,60,18,25,0.5,1.03,37.62,5.12,6.216666667,56.93333333,4,8,45
15,,Afghanistan,4/9/2020,100,33,65,Afghanistan,2/23/2020,60,18,25,0.5,1.03,37.62,5.12,6.216666667,56.93333333,4,9,46
16,,Afghanistan,4/10/2020,101,33,65,Afghanistan,2/23/2020,60,18,25,0.5,1.03,37.62,5.12,6.216666667,56.93333333,4,10,47
17,,Afghanistan,4/11/2020,102,33,65,Afghanistan,2/23/2020,60,18,25,0.5,1.03,37.62,5.12,6.216666667,56.93333333,4,11,48
18,,Afghanistan,4/12/2020,103,33,65,Afghanistan,2/23/2020,60,18,25,0.5,1.03,37.62,5.12,6.216666667,56.93333333,4,12,49
19,,Afghanistan,4/13/2020,104,33,65,Afghanistan,2/23/2020,60,18,25,0.5,1.03,37.62,5.12,6.216666667,56.93333333,4,13,50
20,,Afghanistan,4/14/2020,105,33,65,Afghanistan,2/23/2020,60,18,25,0.5,1.03,37.62,5.12,6.216666667,56.93333333,4,14,51
21,,Afghanistan,4/15/2020,106,33,65,Afghanistan,2/23/2020,60,18,25,0.5,1.03,37.62,5.12,6.216666667,56.93333333,4,15,52
22,,Afghanistan,4/16/2020,107,33,65,Afghanistan,2/23/2020,60,18,25,0.5,1.03,37.62,5.12,6.216666667,56.93333333,4,16,53
23,,Afghanistan,4/17/2020,108,33,65,Afghanistan,2/23/2020,60,18,25,0.5,1.03,37.62,5.12,6.216666667,56.93333333,4,17,54
24,,Afghanistan,4/18/2020,109,33,65,Afghanistan,2/23/2020,60,18,25,0.5,1.03,37.62,5.12,6.216666667,56.93333333,4,18,55
25,,Afghanistan,4/19/2020,110,33,65,Afghanistan,2/23/2020,60,18,25,0.5,1.03,37.62,5.12,6.216666667,56.93333333,4,19,56
26,,Afghanistan,4/20/2020,111,33,65,Afghanistan,2/23/2020,60,18,25,0.5,1.03,37.62,5.12,6.216666667,56.93333333,4,20,57
27,,Afghanistan,4/21/2020,112,33,65,Afghanistan,2/23/2020,60,18,25,0.5,1.03,37.62,5.12,6.216666667,56.93333333,4,21,58
28,,Afghanistan,4/22/2020,113,33,65,Afghanistan,2/23/2020,60,18,25,0.5,1.03,37.62,5.12,6.216666667,56.93333333,4,22,59
29,,Afghanistan,4/23/2020,114,33,65,Afghanistan,2/23/2020,60,18,25,0.5,1.03,37.62,5.12,6.216666667,56.93333333,4,23,60
30,,Afghanistan,4/24/2020,115,33,65,Afghanistan,2/23/2020,60,18,25,0.5,1.03,37.62,5.12,6.216666667,56.93333333,4,24,61
31,,Afghanistan,4/25/2020,116,33,65,Afghanistan,2/23/2020,60,18,25,0.5,1.03,37.62,5.12,6.216666667,56.93333333,4,25,62
32,,Afghanistan,4/26/2020,117,33,65,Afghanistan,2/23/2020,60,18,25,0.5,1.03,37.62,5.12,6.216666667,56.93333333,4,26,63
33,,Afghanistan,4/27/2020,118,33,65,Afghanistan,2/23/2020,60,18,25,0.5,1.03,37.62,5.12,6.216666667,56.93333333,4,27,64
34,,Afghanistan,4/28/2020,119,33,65,Afghanistan,2/23/2020,60,18,25,0.5,1.03,37.62,5.12,6.216666667,56.93333333,4,28,65
35,,Afghanistan,4/29/2020,120,33,65,Afghanistan,2/23/2020,60,18,25,0.5,1.03,37.62,5.12,6.216666667,56.93333333,4,29,66
36,,Afghanistan,4/30/2020,121,33,65,Afghanistan,2/23/2020,60,18,25,0.5,1.03,37.62,5.12,6.216666667,56.93333333,4,30,67
37,,Afghanistan,5/1/2020,122,33,65,Afghanistan,2/23/2020,60,18,25,0.5,1.03,37.62,5.12,6.216666667,56.93333333,5,1,68
38,,Afghanistan,5/2/2020,123,33,65,Afghanistan,2/23/2020,60,18,25,0.5,1.03,37.62,5.12,6.216666667,56.93333333,5,2,69
39,,Afghanistan,5/3/2020,124,33,65,Afghanistan,2/23/2020,60,18,25,0.5,1.03,37.62,5.12,6.216666667,56.93333333,5,3,70
40,,Afghanistan,5/4/2020,125,33,65,Afghanistan,2/23/2020,60,18,25,0.5,1.03,37.62,5.12,6.216666667,56.93333333,5,4,71
41,,Afghanistan,5/5/2020,126,33,65,Afghanistan,2/23/2020,60,18,25,0.5,1.03,37.62,5.12,6.216666667,56.93333333,5,5,72
42,,Afghanistan,5/6/2020,127,33,65,Afghanistan,2/23/2020,60,18,25,0.5,1.03,37.62,5.12,6.216666667,56.93333333,5,6,73
43,,Afghanistan,5/7/2020,128,33,65,Afghanistan,2/23/2020,60,18,25,0.5,1.03,37.62,5.12,6.216666667,56.93333333,5,7,74
44,,Albania,3/26/2020,86,41.1533,20.1683,Albania,3/7/2020,105,36,63,2.9,0.98,11.67,1.51,13.95,69.9,3,26,19
45,,Albania,3/27/2020,87,41.1533,20.1683,Albania,3/7/2020,105,36,63,2.9,0.98,11.67,1.51,13.95,69.9,3,27,20
46,,Albania,3/28/2020,88,41.1533,20.1683,Albania,3/7/2020,105,36,63,2.9,0.98,11.67,1.51,13.95,69.9,3,28,21
47,,Albania,3/29/2020,89,41.1533,20.1683,Albania,3/7/2020,105,36,63,2.9,0.98,11.67,1.51,13.95,69.9,3,29,22
48,,Albania,3/30/2020,90,41.1533,20.1683,Albania,3/7/2020,105,36,63,2.9,0.98,11.67,1.51,13.95,69.9,3,30,23
49,,Albania,3/31/2020,91,41.1533,20.1683,Albania,3/7/2020,105,36,63,2.9,0.98,11.67,1.51,13.95,69.9,3,31,24
50,,Albania,4/1/2020,92,41.1533,20.1683,Albania,3/7/2020,105,36,63,2.9,0.98,11.67,1.51,13.95,69.9,4,1,25
51,,Albania,4/2/2020,93,41.1533,20.1683,Albania,3/7/2020,105,36,63,2.9,0.98,11.67,1.51,13.95,69.9,4,2,26
52,,Albania,4/3/2020,94,41.1533,20.1683,Albania,3/7/2020,105,36,63,2.9,0.98,11.67,1.51,13.95,69.9,4,3,27
53,,Albania,4/4/2020,95,41.1533,20.1683,Albania,3/7/2020,105,36,63,2.9,0.98,11.67,1.51,13.95,69.9,4,4,28
